Player,Pos,Squad,IsolationForest_Outlier,LOF_Outlier,Both_Methods_Outlier,LOF_Score
Nathaniel Clyne,DF,Crystal Palace,False,False,False,1.1736762967412013
Neco Williams,DF,Nott'ham Forest,False,False,False,1.1391183070631858
Neto,GK,Bournemouth,False,True,False,2.1624726931171656
Nick Pope,GK,Newcastle Utd,False,False,False,1.204299032198091
Niclas Füllkrug,FW,West Ham,False,False,False,1.0714561484592386
Nico O’Reilly,DF,Manchester City,False,False,False,1.031212169860821
Nicolas Jackson,FW,Chelsea,False,False,False,1.1960234474591056
Nicolás Domínguez,MF,Nott'ham Forest,False,False,False,1.0746970086057734
Nicolás González,MF,Manchester City,False,False,False,1.2304266464854665
Nikola Milenković,DF,Nott'ham Forest,False,False,False,1.1864342223392015
Noni Madueke,FW,Chelsea,False,False,False,1.0980730612129586
Noussair Mazraoui,DF,Manchester Utd,False,False,False,1.0780163079505596
Nélson Semedo,DF,Wolves,False,False,False,1.079990158616066
Odsonne Édouard,MF,Crystal Palace,False,False,False,1.0276751031999687
Odsonne Édouard,FW,Leicester City,False,False,False,0.9919079205851805
Ola Aina,DF,Nott'ham Forest,False,False,False,1.147491843314814
Olabade Aluko,DF,Leicester City,False,False,False,1.2010607744150141
Oleksandr Zinchenko,DF,Arsenal,False,False,False,1.1958923938852264
Oliver Scarles,DF,West Ham,False,False,False,1.1019697740337937
Oliver Skipp,MF,Leicester City,False,False,False,1.095040573293882
Ollie Watkins,FW,Aston Villa,True,False,False,1.204623540141629
Omar Marmoush,FW,Manchester City,False,False,False,1.4837351179131002
Omari Hutchinson,MF,Ipswich Town,False,False,False,1.1740262543105389
Orel Mangala,MF,Everton,False,False,False,1.1150686340907408
Oscar Bobb,FW,Manchester City,False,False,False,0.990863382431834
Pablo Sarabia,MF,Wolves,False,False,False,1.3582034581627351
Pape Matar Sarr,MF,Tottenham,False,False,False,1.02815298460878
Patrick Dorgu,DF,Manchester Utd,False,False,False,1.1270175344055797
Patson Daka,FW,Leicester City,False,False,False,1.3158675188852036
Pau Torres,DF,Aston Villa,False,False,False,1.1175277762456648
Paul Onuachu,FW,Southampton,False,False,False,1.1229186371288344
Pedro Lima,DF,Wolves,False,False,False,0.9866694295461531
Pedro Neto,FW,Chelsea,False,False,False,1.2431137627600597
Pedro Porro,DF,Tottenham,True,False,False,1.4403364271500962
Pervis Estupiñán,DF,Brighton,False,False,False,1.1235005874535209
Phil Foden,MF,Manchester City,False,False,False,1.2169239573590285
Philip Billing,MF,Bournemouth,False,False,False,1.491199008890142
Radu Drăgușin,DF,Tottenham,False,False,False,1.0900724683950864
Raheem Sterling,FW,Arsenal,False,False,False,1.4994762057570385
Ramón Sosa,FW,Nott'ham Forest,False,False,False,1.241471941141713
Rasmus Højlund,FW,Manchester Utd,False,False,False,1.2134014959631165
Rayan Aït-Nouri,DF,Wolves,True,False,False,1.1741472055262268
Raúl Jiménez,FW,Fulham,False,False,False,1.109655437797413
Reece James,DF,Chelsea,False,False,False,1.2558246980214116
Reiss Nelson,FW,Arsenal,False,False,False,1.1884247731934978
Reiss Nelson,FW,Fulham,False,False,False,1.0873522623568992
Remy Rees-Dottin,FW,Bournemouth,False,False,False,1.186247053520898
Renato Veiga,DF,Chelsea,False,False,False,0.9767442264218612
Ricardo Pereira,DF,Leicester City,False,False,False,1.0664188874594729
Riccardo Calafiori,DF,Arsenal,False,False,False,1.110159870806652
Richarlison,FW,Tottenham,False,False,False,1.079347545133937
Rico Henry,DF,Brentford,False,True,False,2.106753000123007
Rico Lewis,DF,Manchester City,False,False,False,1.0908815036001176
Robert Sánchez,GK,Chelsea,False,False,False,1.1498642500557223
Robin Olsen,GK,Aston Villa,False,True,False,2.88949529122156
Rodri,MF,Manchester City,False,True,False,1.7424498186174844
Rodrigo Bentancur,MF,Tottenham,False,False,False,1.007961912083468
Rodrigo Gomes,DF,Wolves,False,False,False,1.064858544105661
Rodrigo Muniz,FW,Fulham,False,False,False,1.2032705334477787
Romain Esse,MF,Crystal Palace,False,True,False,1.9673232481784049
Roman Dixon,DF,Everton,False,True,False,2.0242217114921535
Roméo Lavia,MF,Chelsea,False,False,False,1.1063717559120068
Ronnie Edwards,DF,Southampton,False,False,False,0.9875329310500511
Ross Barkley,MF,Aston Villa,False,False,False,1.0421496886244657
Ross Stewart,FW,Southampton,False,False,False,1.3682538584031048
Ryan Christie,MF,Bournemouth,False,False,False,1.1736623071870966
Ryan Fraser,FW,Southampton,False,False,False,1.1175569484462944
Ryan Gravenberch,MF,Liverpool,False,False,False,1.108847782592782
Ryan Manning,DF,Southampton,False,False,False,1.265663016660943
Ryan Sessegnon,FW,Fulham,False,False,False,1.1092688536624133
Ryan Trevitt,MF,Brentford,False,False,False,1.3022386501844387
Ryan Yates,MF,Nott'ham Forest,False,False,False,1.0757542742511308
Rúben Dias,DF,Manchester City,True,False,False,1.1483556859466328
Sam Johnstone,GK,Wolves,False,True,False,1.6635629275060597
Sam Morsy,MF,Ipswich Town,False,False,False,1.0770072806352622
Sammie Szmodics,FW,Ipswich Town,False,False,False,1.0545862968132818
Samuel Amo-Ameyaw,FW,Southampton,False,False,False,1.113757863179418
Samuel Edozie,DF,Southampton,False,True,False,2.475088339770518
Sander Berge,MF,Fulham,False,False,False,1.0246050904401878
Sandro Tonali,MF,Newcastle Utd,False,False,False,1.113020219307942
Santiago Bueno,DF,Wolves,False,False,False,1.0526889256478305
Saša Lukić,MF,Fulham,False,False,False,1.353740244723578
Scott McTominay,MF,Manchester Utd,False,False,False,1.2283615664123133
Sean Longstaff,MF,Newcastle Utd,False,False,False,1.2476909615042557
Sepp van den Berg,DF,Brentford,False,False,False,1.1718037354041804
Sergio Reguilón,DF,Tottenham,False,False,False,1.0008221035848184
Shumaira Mheuka,MF,Chelsea,False,True,False,12.289234510166576
Simon Adingra,FW,Brighton,False,False,False,1.1446661383912822
Solly March,FW,Brighton,False,False,False,1.2472565244511866
Son Heung-min,FW,Tottenham,False,False,False,1.0843590811285524
Stefan Ortega,GK,Manchester City,False,True,False,1.6688503431418809
Stephy Mavididi,FW,Leicester City,False,False,False,1.1580741033207933
Sven Botman,DF,Newcastle Utd,False,False,False,1.2278055937310073
Sávio,FW,Manchester City,False,False,False,1.1951516785045229
Séamus Coleman,DF,Everton,False,True,False,2.452657205627765
Taiwo Awoniyi,FW,Nott'ham Forest,False,False,False,1.358100900014572
Takehiro Tomiyasu,DF,Arsenal,False,True,False,2.373986763796501
Tariq Lamptey,DF,Brighton,False,False,False,1.0775690563496683
Taylor Harwood-Bellis,DF,Southampton,False,False,False,1.0529344409981596
Thiago,FW,Brentford,False,False,False,0.9678280178773161
Thomas Partey,MF,Arsenal,True,False,False,1.1842868372764748
Tim Iroegbunam,MF,Everton,False,False,False,1.2565296225794589
Timo Werner,FW,Tottenham,False,False,False,1.2721854033714535
Timothy Castagne,DF,Fulham,False,False,False,1.0763569779696027
Toby Collyer,MF,Manchester Utd,False,False,False,1.2344547268771933
Tom Cairney,MF,Fulham,False,False,False,1.1596103492380778
Tom King,GK,Wolves,False,False,False,1.1861709906128814
Tommy Doyle,MF,Wolves,False,False,False,1.2907568548006503
Tomáš Souček,MF,West Ham,False,False,False,1.2095882215936133
Tosin Adarabioyo,DF,Chelsea,False,False,False,1.1441230564284148
Toti Gomes,DF,Wolves,False,False,False,1.057336827618836
Trent Alexander-Arnold,DF,Liverpool,True,False,False,1.2873350941494521
Trevoh Chalobah,DF,Chelsea,False,False,False,1.0658665422269578
Trevoh Chalobah,DF,Crystal Palace,False,False,False,1.0555974032010509
Tyler Adams,MF,Bournemouth,False,False,False,1.1365641018130417
Tyler Dibling,FW,Southampton,False,False,False,1.1213622129006169
Tyler Fredricson,DF,Manchester Utd,False,False,False,1.5658495612295322
Tyrell Malacia,DF,Manchester Utd,False,False,False,1.574675572786319
Tyrick Mitchell,DF,Crystal Palace,False,False,False,1.1285777554117666
Tyrique George,FW,Chelsea,False,False,False,1.1195660698573382
Tyrone Mings,DF,Aston Villa,False,False,False,1.0807232872942216
Valentino Livramento,DF,Newcastle Utd,False,False,False,1.0945044930767738
Victor Bernth Kristiansen,DF,Leicester City,False,False,False,1.0994311004894006
Victor Lindelöf,DF,Manchester Utd,False,False,False,1.5582717525765741
Virgil van Dijk,DF,Liverpool,True,False,False,1.316957258576432
Vitaliy Mykolenko,DF,Everton,False,False,False,1.173636049336882
Vitaly Janelt,MF,Brentford,False,False,False,1.0211695045295426
Vitezslav Jaros,GK,Liverpool,False,False,False,0.9858282296330003
Vitor Reis,DF,Manchester City,False,False,False,1.1861619980391105
Vladimír Coufal,DF,West Ham,False,False,False,1.132600404915343
Wataru Endo,MF,Liverpool,False,True,False,2.0871936012442016
Welington,DF,Southampton,False,False,False,1.2100825380530777
Wes Burns,FW,Ipswich Town,False,False,False,1.3560907548831056
Wesley Fofana,DF,Chelsea,False,False,False,1.058873805890333
Wilfred Ndidi,MF,Leicester City,False,False,False,1.15477309887649
Will Alves,FW,Leicester City,False,False,False,1.1860482062210074
Will Hughes,MF,Crystal Palace,False,False,False,1.2327220252646973
Will Lankshear,FW,Tottenham,False,False,False,0.9908481981774268
William Osula,FW,Newcastle Utd,False,False,False,1.144466094792093
William Saliba,DF,Arsenal,True,False,False,1.268592244193399
William Smallbone,MF,Southampton,False,False,False,1.2151549230051923
Willian,FW,Fulham,False,False,False,1.4166972059139726
Willy Boly,DF,Nott'ham Forest,False,False,False,0.980189258153735
Wilson Odobert,FW,Tottenham,False,False,False,1.143684226795703
Wout Faes,DF,Leicester City,False,False,False,1.0399860052534264
Woyo Coulibaly,DF,Leicester City,False,False,False,0.9807759322876949
Yankuba Minteh,FW,Brighton,False,False,False,1.1031436426037537
Yasin Ayari,MF,Brighton,False,False,False,1.163271481800691
Yehor Yarmoliuk,MF,Brentford,False,False,False,1.0745915262515755
Yerson Mosquera,DF,Wolves,False,False,False,1.253899210679756
Yoane Wissa,FW,Brentford,True,False,False,1.1437243851810235
Youri Tielemans,MF,Aston Villa,True,False,False,1.280341809553342
Youssef Chermiti,FW,Everton,False,False,False,1.0535102213899648
Yukinari Sugawara,DF,Southampton,False,False,False,1.138376090305162
Yunus Emre Konak,FW,Brentford,False,False,False,1.1502614147072192
Yves Bissouma,MF,Tottenham,False,False,False,1.0330492289080815
Zain Silcott-Duberry,FW,Bournemouth,False,False,False,1.1984597727453425
Álex Moreno,DF,Nott'ham Forest,False,False,False,1.1861365490367983
İlkay Gündoğan,MF,Manchester City,True,False,False,1.267875084196303
Łukasz Fabiański,GK,West Ham,False,True,False,1.758619675673108
