Player,Pos,Squad,IsolationForest_Outlier,LOF_Outlier,Both_Methods_Outlier,LOF_Score
Edmond-Paris Maghoma,MF,Brentford,False,False,False,1.0128277700609858
Edson Álvarez,MF,West Ham,False,False,False,1.0612087166388644
Eiran Cashin,DF,Brighton,False,False,False,1.0041551376417843
Elliot Anderson,MF,Nott'ham Forest,True,False,False,1.3486395952562107
Emerson Palmieri,DF,West Ham,False,False,False,1.1609430302349457
Emi Buendía,MF,Aston Villa,False,False,False,1.33726433381906
Emil Krafth,DF,Newcastle Utd,False,False,False,0.9924905256621074
Emile Smith Rowe,MF,Fulham,False,False,False,1.128357457880259
Emiliano Martínez,GK,Aston Villa,False,False,False,1.1586087963350777
Emmanuel Agbadou,DF,Wolves,False,False,False,1.0935086496641024
Enes Ünal,FW,Bournemouth,False,False,False,1.25526020379484
Enzo Fernández,MF,Chelsea,True,False,False,1.180211948683293
Eric da Silva Moreira,MF,Nott'ham Forest,False,False,False,1.1351209832591442
Erling Haaland,FW,Manchester City,True,False,False,1.371156417146056
Ethan Nwaneri,FW,Arsenal,False,False,False,1.303205988364917
Ethan Pinnock,DF,Brentford,False,False,False,1.0481112000903101
Evan Ferguson,FW,Brighton,False,False,False,1.4686363804872795
Evan Ferguson,FW,West Ham,False,False,False,1.098194945669158
Evanilson,FW,Bournemouth,False,False,False,1.1697908231874883
Ezri Konsa,DF,Aston Villa,False,False,False,1.087287635211422
Fabian Schär,DF,Newcastle Utd,True,False,False,1.207071519882891
Fabio Carvalho,FW,Brentford,False,False,False,1.049647935697073
Facundo Buonanotte,FW,Leicester City,False,False,False,1.233997776275534
Federico Chiesa,FW,Liverpool,False,False,False,1.0227242379170243
Ferdi Kadioglu,DF,Brighton,False,False,False,1.10109475528824
Filip Jørgensen,GK,Chelsea,False,True,False,1.9104573901413862
Flynn Downes,MF,Southampton,False,False,False,1.0140773040527404
Frank Onyeka,MF,Brentford,False,False,False,0.9932386713949759
Fraser Forster,GK,Tottenham,False,True,False,1.6904160294099397
Gabriel Jesus,FW,Arsenal,False,False,False,1.4213723360506207
Gabriel Magalhães,DF,Arsenal,False,False,False,1.0742988259658754
Gabriel Martinelli,FW,Arsenal,False,False,False,1.0497806708957764
George Edmundson,DF,Ipswich Town,False,False,False,1.1919922919035932
George Hirst,FW,Ipswich Town,False,False,False,1.0687322353319242
Georginio Rutter,MF,Brighton,False,False,False,1.1979327266604094
Gonçalo Guedes,MF,Wolves,False,False,False,1.258705277015195
Guglielmo Vicario,GK,Tottenham,False,False,False,1.3107265164729553
Guido Rodríguez,MF,West Ham,False,False,False,1.1079166013507447
Gustavo Nunes,FW,Brentford,False,False,False,1.1464650681189712
Hamza Choudhury,MF,Leicester City,False,True,False,2.0903541905665017
Harrison Armstrong,MF,Everton,False,True,False,1.8158941586864643
Harrison Reed,MF,Fulham,False,False,False,0.9739830263207484
Harry Amass,DF,Manchester Utd,False,False,False,1.0510932587485482
Harry Clarke,DF,Ipswich Town,False,False,False,1.5038408950843332
Harry Howell,FW,Brighton,False,True,False,6.460382320490181
Harry Maguire,DF,Manchester Utd,False,False,False,1.0909396817266712
Harry Toffolo,DF,Nott'ham Forest,False,False,False,1.0747358363048778
Harry Wilson,FW,Fulham,False,False,False,1.2573904061067513
Harry Winks,MF,Leicester City,False,False,False,1.09436089717874
Harvey Barnes,FW,Newcastle Utd,False,False,False,1.0465949401265624
Harvey Elliott,MF,Liverpool,False,False,False,1.2155800831571377
Hwang Hee-chan,MF,Wolves,False,False,False,1.0787946885811333
Hákon Valdimarsson,GK,Brentford,False,True,False,1.9179776228660494
Ian Maatsen,DF,Aston Villa,False,False,False,1.1565800146298764
Ibrahim Sangaré,MF,Nott'ham Forest,False,False,False,1.2193995124904917
Ibrahima Konaté,DF,Liverpool,False,False,False,1.0537419737937908
Idrissa Gana Gueye,MF,Everton,False,False,False,1.1827410519045973
Igor,DF,Brighton,False,False,False,1.0580460718582132
