antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_Ast_category=Low', 'shooting_Expected_xG_category=Low'})","frozenset({'shooting_Standard_Gls_category=Low', 'passing_xAG_category=Low'})",0.24912891986062718,0.3310104529616725,0.22996515679442509,0.923076923076923,2.788663967611336,1.0,0.14750088018550667,8.696864111498252,0.854215003866976,0.6567164179104478,0.8850160256410254,0.808906882591093
"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_Ast_category=Low', 'passing_xAG_category=Low'})","frozenset({'shooting_Standard_Gls_category=Low', 'shooting_Expected_xG_category=Low'})",0.24912891986062718,0.3344947735191638,0.22996515679442509,0.923076923076923,2.759615384615384,1.0,0.14663283516857067,8.651567944250864,0.8491879350348027,0.6502463054187192,0.8844140153040676,0.8052884615384615
"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_Ast_category=Low', 'passing_xAG_category=Low'})",frozenset({'shooting_Expected_xG_category=Low'}),0.24912891986062718,0.343205574912892,0.22996515679442509,0.923076923076923,2.689574385005857,1.0,0.14446272262623072,8.538327526132399,0.8366202629543696,0.6346153846153846,0.8828810446847579,0.7965638422491215
"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_Ast_category=Low', 'shooting_Expected_xG_category=Low'})",frozenset({'passing_xAG_category=Low'}),0.24912891986062718,0.37456445993031356,0.22996515679442509,0.923076923076923,2.464400715563506,1.0,0.1366503174738069,8.130662020905918,0.7913766434648106,0.584070796460177,0.8770087850867793,0.768515205724508
"frozenset({'shooting_Standard_SoT%_category=Low', 'shooting_Standard_Gls_category=Low', 'passing_Ast_category=Low', 'shooting_Expected_xG_category=Low'})",frozenset({'passing_xAG_category=Low'}),0.24912891986062718,0.37456445993031356,0.22996515679442509,0.923076923076923,2.464400715563506,1.0,0.1366503174738069,8.130662020905918,0.7913766434648106,0.584070796460177,0.8770087850867793,0.768515205724508
"frozenset({'passing_Ast_category=High', 'shooting_Standard_Gls_category=High'})",frozenset({'shooting_Expected_xG_category=High'}),0.19686411149825783,0.32752613240418116,0.18118466898954705,0.920353982300885,2.810016945961213,1.0,0.11670652794133717,8.443283004258625,0.802019022192558,0.5279187817258884,0.8815626576184146,0.7367727358312937
"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_xAG_category=Low'})","frozenset({'shooting_Standard_Gls_category=Low', 'shooting_Expected_xG_category=Low'})",0.25609756097560976,0.3344947735191638,0.23519163763066203,0.9183673469387755,2.745535714285714,1.0,0.14952834197331522,8.152439024390246,0.8546448087431694,0.6617647058823529,0.8773373223635004,0.8107461734693877
"frozenset({'shooting_Standard_SoT%_category=Low', 'passing_xAG_category=Low'})",frozenset({'shooting_Expected_xG_category=Low'}),0.25609756097560976,0.343205574912892,0.23519163763066203,0.9183673469387755,2.6758520667150107,1.0,0.14729752698223847,8.045731707317076,0.8418943533697631,0.6459330143540671,0.8757104964001514,0.8018232673780172
"frozenset({'shooting_Standard_Gls_category=Low', 'passing_Ast_category=Low', 'shooting_Expected_xG_category=Low'})",frozenset({'passing_xAG_category=Low'}),0.29442508710801396,0.37456445993031356,0.2682926829268293,0.9112426035502958,2.4328058345947436,1.0,0.1580115091842805,7.046573751451801,0.834712201378868,0.6695652173913044,0.8580870597155148,0.8137608366588689
"frozenset({'shooting_Standard_SoT%_category=Low', 'shooting_Expected_xG_category=Low'})","frozenset({'shooting_Standard_Gls_category=Low', 'passing_Ast_category=Low'})",0.27526132404181186,0.397212543554007,0.24912891986062718,0.9050632911392404,2.278536531201421,1.0,0.13979166919593536,6.349361207897789,0.774240182894029,0.588477366255144,0.8425038413697226,0.7661281367976904
"frozenset({'shooting_Standard_SoT%_category=Low', 'shooting_Expected_xG_category=Low'})",frozenset({'passing_Ast_category=Low'}),0.27526132404181186,0.524390243902439,0.24912891986062718,0.9050632911392404,1.7259346482190165,1.0,0.10478456700943314,5.009756097560972,0.5803523399677244,0.45253164556962033,0.8003894839337876,0.6900731738088228
"frozenset({'shooting_Standard_SoT%_category=Low', 'shooting_Standard_Gls_category=Low', 'shooting_Expected_xG_category=Low'})",frozenset({'passing_Ast_category=Low'}),0.27526132404181186,0.524390243902439,0.24912891986062718,0.9050632911392404,1.7259346482190165,1.0,0.10478456700943314,5.009756097560972,0.5803523399677244,0.45253164556962033,0.8003894839337876,0.6900731738088228
